timestamp,node_ip,container_id,container_name,cpu_cores,memory_mb,rx_bytes_per_sec,tx_bytes_per_sec
2025-06-12T09:24:04.772799,10.160.0.9,/system.slic,my-app_authentication.8.ps2doeep3ayo9zf75jhagczw7,0.005391,78.38,0.0,0.0
2025-06-12T09:24:04.772799,10.160.0.9,/system.slic,my-app_authentication.3.b1no8yh118rat22ohku21sxou,0.003522,81.32,42.0,42.0
2025-06-12T09:24:06.323833,10.160.0.9,/system.slic,my-app_authentication.7.10tjlk6zlunm03mtwkq7dcmfz,0.004035,79.77,42.0,0.0
2025-06-12T09:24:07.841604,10.160.0.9,/system.slic,my-app_authentication.4.orb90t7u6w651nm98v9wm54bz,0.006209,78.41,132.0,132.0
2025-06-12T09:24:07.841604,10.160.0.9,/system.slic,my-app_authentication.2.te2jk7otj43ra9zh2v0po8axv,0.006447,81.33,0.0,0.0
2025-06-12T09:24:12.389999,10.160.0.9,/system.slic,my-app_authentication.6.yzl0bbqwi8kzwjexyceay2mqv,0.004522,81.28,294.0,0.0
2025-06-12T09:24:13.908743,10.160.0.9,/system.slic,my-app_authentication.1.oaraf21dy3hvpvi29941cft3j,0.004097,79.66,0.0,0.0
2025-06-12T09:24:15.427081,10.160.0.9,/system.slic,my-app_authentication.10.czgcf8ctmyip0po60jf0qzzac,0.003773,81.3,252.0,0.0
2025-06-12T09:24:16.949025,10.160.0.9,/system.slic,my-app_authentication.8.ps2doeep3ayo9zf75jhagczw7,0.005143,78.38,42.0,0.0
2025-06-12T09:24:16.949025,10.160.0.9,/system.slic,my-app_authentication.3.b1no8yh118rat22ohku21sxou,0.003081,81.32,0.0,0.0
2025-06-12T09:24:18.466859,10.160.0.9,/system.slic,my-app_authentication.7.10tjlk6zlunm03mtwkq7dcmfz,0.003889,79.77,0.0,0.0
2025-06-12T09:24:19.984065,10.160.0.9,/system.slic,my-app_authentication.4.orb90t7u6w651nm98v9wm54bz,0.016434,78.75,126.0,485.0
2025-06-12T09:24:19.984065,10.160.0.9,/system.slic,my-app_authentication.2.te2jk7otj43ra9zh2v0po8axv,0.005533,81.33,126.0,0.0
2025-06-12T09:24:24.538478,10.160.0.9,/system.slic,my-app_authentication.6.yzl0bbqwi8kzwjexyceay2mqv,0.006613,81.28,84.0,0.0
2025-06-12T09:24:26.059653,10.160.0.9,/system.slic,my-app_authentication.1.oaraf21dy3hvpvi29941cft3j,0.006882,79.66,0.0,0.0
2025-06-12T09:24:27.580757,10.160.0.9,/system.slic,my-app_authentication.10.czgcf8ctmyip0po60jf0qzzac,0.005959,81.3,168.0,0.0
2025-06-12T09:24:29.103421,10.160.0.9,/system.slic,my-app_authentication.8.ps2doeep3ayo9zf75jhagczw7,0.005585,78.38,0.0,0.0
2025-06-12T09:24:29.103421,10.160.0.9,/system.slic,my-app_authentication.3.b1no8yh118rat22ohku21sxou,0.004553,81.32,759.0,263.0
2025-06-12T09:24:30.619328,10.160.0.9,/system.slic,my-app_authentication.7.10tjlk6zlunm03mtwkq7dcmfz,0.003615,79.77,0.0,0.0
2025-06-12T09:24:32.134094,10.160.0.9,/system.slic,my-app_authentication.4.orb90t7u6w651nm98v9wm54bz,0.003797,78.75,0.0,0.0
2025-06-12T09:24:32.134094,10.160.0.9,/system.slic,my-app_authentication.2.te2jk7otj43ra9zh2v0po8axv,0.003244,81.33,0.0,0.0
2025-06-12T09:24:36.690312,10.160.0.9,/system.slic,my-app_authentication.6.yzl0bbqwi8kzwjexyceay2mqv,0.006211,81.28,84.0,0.0
2025-06-12T09:24:38.204806,10.160.0.9,/system.slic,my-app_authentication.1.oaraf21dy3hvpvi29941cft3j,0.005862,79.66,0.0,0.0
2025-06-12T09:24:39.726665,10.160.0.9,/system.slic,my-app_authentication.10.czgcf8ctmyip0po60jf0qzzac,0.004747,81.3,126.0,0.0
2025-06-12T09:24:41.252326,10.160.0.9,/system.slic,my-app_authentication.8.ps2doeep3ayo9zf75jhagczw7,0.004861,78.38,0.0,0.0
2025-06-12T09:24:41.252326,10.160.0.9,/system.slic,my-app_authentication.3.b1no8yh118rat22ohku21sxou,0.004932,81.32,379.0,66.0
2025-06-12T09:24:42.769303,10.160.0.9,/system.slic,my-app_authentication.7.10tjlk6zlunm03mtwkq7dcmfz,0.006842,79.77,42.0,0.0
2025-06-12T09:24:42.769303,10.160.0.9,/system.slic,my-app_authentication.9.0kj2agmiam5t4tb4l1eyrruyf,0.003053,78.4,0.0,0.0
2025-06-12T09:24:44.287237,10.160.0.9,/system.slic,my-app_authentication.4.orb90t7u6w651nm98v9wm54bz,0.005254,78.75,1518.0,526.0
2025-06-12T09:24:44.287237,10.160.0.9,/system.slic,my-app_authentication.2.te2jk7otj43ra9zh2v0po8axv,0.004818,81.33,0.0,0.0
